gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,1.128910065,20250904135257190,None,5,6,3,-1,-1,0,-1,1,1757008377190281391
0,1.136664391,20250904135257198,None,2,-10,1,1,-3,0,1,2,1757008377198030710
0,1.136845828,20250904135257198,None,-6,-2,-1,0,1,-2,0,0,1757008377198268651
0,1.151387454,20250904135257213,None,1,-1,0,4,2,-2,0,-3,1757008377212752819
0,1.151567698,20250904135257213,None,2,-4,-4,0,-1,-1,-1,-2,1757008377212955236
0,1.158747435,20250904135257220,None,-3,0,6,5,-1,0,-4,-3,1757008377220114946
0,1.158898116,20250904135257220,None,-6,-1,-6,-4,2,2,4,5,1757008377220300436
0,1.165875674,20250904135257227,None,2,-13,2,-6,-4,-2,-3,3,1757008377227347612
0,1.165987015,20250904135257227,None,-1,22,3,-3,0,2,2,-2,1757008377227487802
0,1.181287289,20250904135257243,None,-3,-12,-1,1,-1,0,0,1,1757008377242650032
0,1.18148613,20250904135257243,None,6,-8,-2,-1,-1,0,-5,-3,1757008377242846250
0,1.188974381,20250904135257250,None,11,2,0,7,4,1,5,12,1757008377250221490
0,1.189154149,20250904135257251,None,-4,1,0,-3,-5,-2,-4,-12,1757008377250753164
0,1.195852519,20250904135257257,None,-3,-3,-2,-2,0,-1,-1,-2,1757008377257518529
0,1.196005822,20250904135257257,None,3,-12,-4,-2,-2,1,-1,6,1757008377257690668
0,1.210845948,20250904135257272,None,-1,18,-1,5,-1,-1,-2,0,1757008377272480487
0,1.210937262,20250904135257272,None,-1,-8,2,1,2,-1,3,3,1757008377272690773
0,1.218232871,20250904135257280,None,4,1,0,2,1,0,-2,-2,1757008377279936790
0,1.218400717,20250904135257280,None,-2,-3,-4,-4,1,0,-3,0,1757008377280125617
0,1.226159811,20250904135257288,None,-5,-3,-1,-2,1,-2,3,0,1757008377287824630
0,1.2262909419999999,20250904135257288,None,-3,-1,0,4,-4,-5,-4,-7,1757008377288036823
0,1.240971804,20250904135257302,None,3,-1,2,-1,-1,-2,0,2,1757008377302509784
0,1.241170407,20250904135257303,None,-1,-13,1,-1,2,1,0,-1,1757008377302699327
0,1.24874115,20250904135257310,None,2,23,0,-1,-2,0,-3,-5,1757008377309975385
0,1.248871565,20250904135257310,None,-2,-5,0,-4,0,1,2,1,1757008377310160875
0,1.255783558,20250904135257317,None,3,-7,-1,2,1,-1,-3,2,1757008377317275047
0,1.255871296,20250904135257317,None,-8,-3,-2,-1,-2,-1,-2,-2,1757008377317392826
0,1.271299124,20250904135257333,None,-3,3,3,1,-2,-2,2,20,1757008377332577228
